ID,Name,Type,URL,DateAdded
107,Error: Can't resolve 'crypto' · Issue #1555 · ChainSafe/web3.js · GitHub,url,https://github.com/ChainSafe/web3.js/issues/1555,2022-06-22T23:20:59.436953-05:00
105,SignerWalletAdapterProps |,url,https://solana-labs.github.io/wallet-adapter/interfaces/_solana_wallet_adapter_base.SignerWalletAdapterProps.html#signAllTransactions,2022-04-29T12:53:39.301019-05:00
103,Untitled - Jupyter Notebook,url,http://localhost:8888/notebooks/Untitled%20Folder/Untitled.ipynb?kernel_name=python3,2022-03-02T13:48:10.968022-06:00
101,Meet - Bitcou API,url,https://meet.google.com/xtw-uacc-cnk?authuser=0,2022-02-26T03:53:51.578574-06:00
99,HadeSwap,url,http://localhost:3000/swap,2022-02-24T17:36:09.803296-06:00
97,Hello World - Introduction to C# interactive C# tutorial | Microsoft Docs,url,https://docs.microsoft.com/en-us/dotnet/csharp/tour-of-csharp/tutorials/hello-world?tutorial-step=1,2022-02-20T02:17:48.28018-06:00
95,Meet - fia-bwhw-vef,url,https://meet.google.com/fia-bwhw-vef,2022-02-03T17:40:57.185134-06:00
93,Inteligencia Artificial.pdf - Google Drive,url,https://drive.google.com/file/d/10dKRo2cd2xJ4GuzcrEeCkd6v6koSaOVK/view,2022-01-25T20:21:15.411684-06:00
92,Clases,folder,,2022-01-25T01:38:01.87565-06:00
91,HUMANIDADES ENERO-JUNIO 2022 - Filosofía Social (Ética Social),url,https://sites.google.com/up.edu.mx/humanidadesenejun22/filosof%C3%ADa-social-%C3%A9tica-social?authuser=0,2022-01-25T01:37:37.884429-06:00
87,SweetAlert2 | Keenthemes,url,https://preview.keenthemes.com/metronic/demo2/features/miscellaneous/sweetalert2.html,2021-12-11T03:15:56.232699-06:00
84,Query MongoDB - React Native SDK — MongoDB Realm,url,https://docs.mongodb.com/realm/sdk/react-native/examples/query-mongodb/,2021-11-26T20:40:21.202178-06:00
82,🎶 Es tempo de saber ¿Qué es la composición musical?,url,https://www.crehana.com/mx/blog/estilo-vida/que-es-composicion-musical/,2021-11-08T04:47:42.833576-06:00
73,Internship Facebook 2022 - Documentos de Google,url,https://docs.google.com/document/d/1OevY58n9mOkmC33zTrjEnI7WWRLPqueVrg-adj9Ag0Y/edit,2021-07-30T03:40:59.767399-05:00
68,Gastos - Hojas de cálculo de Google,url,https://docs.google.com/spreadsheets/d/1o61ySX5tOZsYqoP7FtpqLU9FBmcjaw3pOy5lXrROoHQ/edit#gid=0,2021-06-25T01:20:05.550966-05:00
66,Horariooo - Hojas de cálculo de Google,url,https://docs.google.com/spreadsheets/d/1haHltui55LYCN791lAGCaloTNX7sCMMX5AdmcdynlfQ/edit#gid=0,2021-06-21T18:41:40.990258-05:00
62,Diarios - Hojas de cálculo de Google,url,https://docs.google.com/spreadsheets/d/18ZZa-kxO8SgO7lj56M9paFowF5hN0P6osQSTZkf3YlE/edit#gid=0,2021-06-18T19:24:00.873288-05:00
60,Docs,folder,,2021-06-18T04:20:41.283218-05:00
59,Mood_SL - Hojas de cálculo de Google,url,https://docs.google.com/spreadsheets/d/1GdR2_DHiQ-14hWcFvaY1rzfYoDkFnQK_AD0mMphEzS8/edit#gid=0,2021-06-18T04:20:22.845974-05:00
7,Música,folder,,2021-05-25T14:47:27.256406-05:00
6,IA,folder,,2021-05-25T14:47:27.256119-05:00
3,Mobile bookmarks,folder,,2021-05-25T14:47:13.444565-05:00
2,Other bookmarks,folder,,2021-05-25T14:47:13.444564-05:00
1,Bookmarks,folder,,2021-05-25T14:47:13.44456-05:00
5,UP HW - Hojas de cálculo de Google,url,https://docs.google.com/spreadsheets/d/1XkOmFLHWD699aoucy9KVHCNKXrZLn5MCPfL8iBYA0is/edit#gid=1386834576,2021-04-01T17:05:17-06:00
27,ICPC Quantum Computing Challenge,url,https://challenges.quantum-computing.ibm.com/icpc,2021-02-09T18:41:12-06:00
26,GPM Website,url,https://www.eorc.jaxa.jp/GPM/en/overview.html#s4d,2021-02-05T00:34:04-06:00
25,Big Software for SmallSats: Adapting cFS to CubeSat Missions,url,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=3303&context=smallsat,2021-02-02T16:53:04-06:00
16,Los modos griegos | Escalas musicales | Teoría musical | Marcos García,url,https://www.marcosgarcia.net/los-modos-griegos/,2020-10-31T16:33:12-06:00
24,Primeros pasos con Jupyter Notebook - Adictos al trabajo,url,https://www.adictosaltrabajo.com/2018/01/18/primeros-pasos-con-jupyter-notebook/,2020-10-06T16:35:37-05:00
